task,dataset,n_valid,n_in_ad,pct_in_ad,criterion,h_star
reg,Train,15346,15068,98.18845301707286,leverage+residual,0.009970024762153005
reg,Test,3837,3022,78.75944748501433,leverage+residual,0.009970024762153005
reg,External,92,84,91.30434782608695,leverage+residual,0.009970024762153005
reg,Approved,14596,14413,98.74623184434091,leverage,0.009970024762153005
reg,4FDN,799,799,100.0,leverage,0.009970024762153005
reg,CyanoMetDB,3026,2919,96.46397884996695,leverage,0.009970024762153005
reg,COCONUT,738820,728801,98.64391868114019,leverage,0.009970024762153005
cls,Train,12177,11633,95.53256138621992,leverage+residual,0.012564671101256468
cls,Test,3837,3210,83.6591086786552,leverage+residual,0.012564671101256468
cls,External,92,72,78.26086956521739,leverage+residual,0.012564671101256468
cls,Approved,14596,13893,95.18361194847904,leverage,0.012564671101256468
cls,4FDN,799,797,99.7496871088861,leverage,0.012564671101256468
cls,CyanoMetDB,3026,2870,94.84467944481163,leverage,0.012564671101256468
cls,COCONUT,738820,683143,92.4640643187786,leverage,0.012564671101256468
