feature,kind,bit,mean_abs_shap
maccs_107,maccs,107,0.004680749529692511
maccs_100,maccs,100,0.004533994942685717
maccs_153,maccs,153,0.004013250241539708
maccs_140,maccs,140,0.0036594122750222276
maccs_86,maccs,86,0.0035072395707602196
maccs_110,maccs,110,0.0032032745556878415
maccs_113,maccs,113,0.0030930947689595083
maccs_138,maccs,138,0.002779008152000225
maccs_129,maccs,129,0.0020132284005185334
maccs_92,maccs,92,0.0019808372870446485
maccs_85,maccs,85,0.0018292890900217201
morgan_1152,morgan,1152,0.0018185415495573327
