feature,kind,bit,mean_abs_shap
morgan_215,morgan,215,0.0037633912953677247
maccs_119,maccs,119,0.003381854748032209
morgan_1825,morgan,1825,0.002404053842977821
morgan_284,morgan,284,0.0024002141956628964
morgan_521,morgan,521,0.0016718251351879258
morgan_1309,morgan,1309,0.0014945980380363666
morgan_2019,morgan,2019,0.0012705958257695502
morgan_1768,morgan,1768,0.0010320970862553083
morgan_1083,morgan,1083,0.0009369658529052538
morgan_862,morgan,862,0.0009242412040075415
morgan_1101,morgan,1101,0.0008610729864768189
morgan_1805,morgan,1805,0.0008533337000183287
